company,website,intent_score,open_tech_roles,funding_stage,ats_detected,outreach_subject,outreach_body,source_url
Together AI,https://www.together.ai,3,5,Series B,TRUE,five engineering roles at Together AI,"Five technical roles are posted across AI Researcher, Backend Engineer Amsterdam, Data Platform Backend and GPU Cluster Customer Support in SF and India. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.together.ai/careers
Runway,https://www.runwayml.com,4,15,Series D,FALSE,fifteen remote technical roles at Runway,"Fifteen fully remote engineering and research roles span Inference, Data Infrastructure, Mobile, Model Scaling and Reinforcement Learning leadership. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for Member of Technical Staff hiring specifically.",https://www.runwayml.com/careers
Notion,https://www.notion.com,4,15,Series C,FALSE,fifteen engineering roles open at Notion,"Fifteen engineering roles are live across AI Workflows, Cloud Infrastructure, Data Platform, Datastore and Mobile Platform in SF, NYC and Hyderabad. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.notion.com/careers
Mercury,https://mercury.com,3,14,Series C,TRUE,fourteen engineering roles at Mercury,"Fourteen engineering roles are posted remote-first across Backend, Infrastructure, ML, AI Engineering and Banking Integration Platform. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for senior engineering hiring specifically.",https://mercury.com/jobs
Glean,https://www.glean.com,3,20,Series F,TRUE,twenty engineering roles at Glean,"Twenty engineering roles are open across Agentic Runtime, AI Infrastructure, Context Platform, ML Search Quality and Security, split between SF Bay Area, Bangalore and remote US. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.glean.com/careers
Writer,https://www.writer.com,4,15,Series C,FALSE,fifteen engineering roles at Writer,"Fifteen engineering roles sit in the enterprise AI platform stack across AI Deployment, Agents, Generative AI and Security, doubled up between San Francisco, New York and London. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for enterprise AI platform hiring specifically.",https://www.writer.com/careers
Hebbia,https://www.hebbia.com,3,14,Series B,TRUE,fourteen technical roles at Hebbia,"Fourteen technical roles are live around Agent Collaboration Platform, Applied Research, Forward Deployed and Document Intelligence engineering. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.hebbia.com/careers
Decagon,https://decagon.ai,4,20,Series C,FALSE,twenty engineering roles at Decagon,"Twenty engineering roles are open across Agent Orchestration, Enterprise Product, ML Infrastructure and Developer Platform, split between San Francisco, New York and London. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://decagon.ai/careers
Sierra,https://sierra.ai,4,25,Series C,FALSE,twenty five Agent Engineer roles at Sierra,"Twenty-five Agent engineering roles sit open across SF, NYC, London, Singapore, Paris, Tokyo, Sydney, Madrid, Munich and Toronto. Remote pipelines make consistency even harder â€?Basanite applies identical depth and standards to every candidate regardless of sequence. Happy to share what this looks like for Agent Engineer hiring specifically.",https://sierra.ai/careers
Abridge,https://www.abridge.com,4,15,Series E,FALSE,fifteen engineering roles at Abridge,"Fifteen engineering roles span Model Inference, Gen AI Platform, SRE, Full Stack Epic and Cerner integrations out of SF and NYC offices. Companies scaling this fast usually find that screening becomes the bottleneck before headcount does â€?Basanite removes it. Worth a 15-min call?",https://www.abridge.com/careers
